time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-05-31T03:34:44.521Z,46.3176,53.2368,10,4,mb,33,149,5.206,0.51,us,us7000hene,2022-08-06T22:13:24.040Z,"23 km SW of Karaton, Kazakhstan",earthquake,4.6,1.9,0.122,18,reviewed,us,us
2022-05-31T03:28:53.680Z,18.8601,-65.2575,40,3.51,md,12,292,0.5532,0.28,pr,pr2022151001,2022-05-31T04:00:37.294Z,"61 km N of Culebra, Puerto Rico",earthquake,4.01,9.33,0.03,4,reviewed,pr,pr
2022-05-31T03:19:22.452Z,51.5071,178.8323,59.19,3.5,ml,32,181,0.32,0.37,us,us6000i61j,2022-08-06T22:12:57.040Z,"Rat Islands, Aleutian Islands, Alaska",earthquake,8.8,17.9,0.094,15,reviewed,us,us
2022-05-31T03:06:00.333Z,54.3652,-159.807,27.29,2.7,ml,12,247,0.483,0.35,us,us6000i61l,2022-08-06T22:12:58.040Z,"116 km SSE of Sand Point, Alaska",earthquake,3.1,9.8,0.128,8,reviewed,us,us
2022-05-31T03:05:02.615Z,6.2675,123.7369,560.79,4.3,mb,26,105,5.324,0.71,us,us7000hen9,2024-01-18T16:36:49.884Z,"39 km WSW of Sangay, Philippines",earthquake,10.2,8.1,0.129,17,reviewed,us,us
2022-05-31T02:54:55.151Z,-20.1951,169.8018,111.9,4.4,mb,27,141,3.256,0.31,us,us7000hen8,2022-08-06T22:13:24.040Z,"90 km SE of Isangel, Vanuatu",earthquake,9.2,6.8,0.138,15,reviewed,us,us
2022-05-31T02:21:19.344Z,19.5989,-68.8509,10,2.9,ml,15,221,1.166,0.69,us,us7000hdps,2022-08-06T22:13:08.040Z,"67 km NE of Samaná, Dominican Republic",earthquake,6.1,2,0.067,29,reviewed,us,us
2022-05-31T01:25:34.751Z,-58.2132,-139.8449,10,4.7,mb,17,169,26.36,0.6,us,us7000hen7,2022-08-06T22:13:24.040Z,"Pacific-Antarctic Ridge",earthquake,9.8,1.9,0.166,11,reviewed,us,us
2022-05-31T00:56:13.601Z,59.8876,-153.1752,120,2.8,ml,,,,0.58,ak,ak0226xqhfmn,2022-08-06T22:13:08.040Z,"53 km ENE of Pedro Bay, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2022-05-31T00:52:05.876Z,-3.6685,131.3329,10,5,mb,87,43,1.179,0.68,us,us7000hdpm,2022-08-06T22:13:08.040Z,"Ceram Sea, Indonesia",earthquake,5.9,1.8,0.051,121,reviewed,us,us
