latitude,longitude,depth,magnitude,distance,gravity,force,year,month,day,hour,minutes,mb,mwb,mwc,mwr,mww,rare_mt
-30.664,-71.6383,3.1793030497483774,5.7,12.868783814212678,2.2835342832122403,46.71635756302688,2016,1,8,1,12,0,0,0,0,1,0
-15.1899,-173.4453,2.302585092994046,5.1,12.84206729458581,2.280881614163749,46.769790602280615,2018,3,31,8,10,1,0,0,0,0,0
40.288,48.8033,4.169142772297287,5.4,12.911437386814354,2.28110149016982,46.63105041782353,2014,2,10,12,6,0,1,0,0,0,0
-14.5375,-71.1073,4.210051369934071,5.1,12.876534447656736,2.2826529143864573,46.70085629613877,2014,7,6,3,8,1,0,0,0,0,0
-30.4194,-177.5769,3.2304090606818736,5.1,12.877518547495756,2.2803527886616957,46.69888809646073,2016,2,4,0,48,1,0,0,0,0,0
37.36,141.652,3.299533727885655,5.1,12.868971936482401,2.2804803820955897,46.71598131848744,2011,2,26,15,38,0,0,1,0,0,0
-20.6141,-173.6659,2.302585092994046,5.2,12.895713686760832,2.280418555562618,46.66249781793058,2016,1,27,1,27,1,0,0,0,0,0
-0.462,119.951,3.8088822465086327,5.1,12.831101572013829,2.2825150840145696,46.79172204742458,2012,2,8,8,52,1,0,0,0,0,0
39.323,141.95,3.713572066704308,5.9,12.915039039922851,2.2822163841439322,46.62384711160654,2011,4,1,11,57,0,0,0,0,1,0
-27.358,-175.565,2.302585092994046,5.1,12.837711376312793,2.284057215019598,46.77850243882665,2022,3,19,15,9,0,0,0,0,1,0
53.4301,-163.7134,3.332204510175204,5.7,12.889906592247545,2.280914515003749,46.674112006957145,2020,8,13,6,40,0,0,0,0,1,0
-29.714,-177.682,4.302712827954156,5.1,12.894455997053578,2.2802149609566245,46.66501319734508,2011,11,13,15,40,1,0,0,0,0,0
-19.486,-173.3185,2.302585092994046,5.1,12.858496785007144,2.2817729387769963,46.73693162143795,2015,9,21,20,26,1,0,0,0,0,0
