latitude,longitude,depth,magnitude,distance,gravity,force
31.455,140.147,106.6,5.4,373854,9.78,2.339564072772395e-15
-17.811,-174.434,122.5,5.6,374927,9.78,2.326192082632864e-15
-36.274,-73.805,33.0,5.1,375285,9.8,2.3217560963538873e-15
-18.061,-178.422,628.8,5.2,378422,9.8,2.2834223814409782e-15
17.843,-95.007,122.7,5.9,382547,9.78,2.2344436457282707e-15
34.333,140.235,66.8,5.3,383862,9.8,2.2191607548811027e-15
-3.047,100.996,50.1,5.1,384487,9.79,2.2119519380527616e-15
-20.489,168.412,36.5,5.1,385104,9.79,2.204869793753041e-15
-10.622,164.899,49.2,5.9,385337,9.78,2.202204182388835e-15
37.36,141.652,27.1,5.1,388082,9.78,2.1711608904462036e-15
-9.228,-109.61,10.0,5.4,388408,9.78,2.1675178068108793e-15
-54.655,-119.305,10.0,5.4,388820,9.79,2.1629267661825455e-15
36.121,137.353,3.4,5.1,389058,9.78,2.1602813039779868e-15
-37.36,-73.695,31.5,5.8,394217,9.8,2.1041093666053105e-15
32.356,142.384,26.5,5.1,394310,9.81,2.103116954062989e-15
-15.138,-176.511,10.0,5.2,394366,9.79,2.1025197109566853e-15
34.98,25.42,53.0,5.7,395230,9.82,2.093337252899263e-15
-20.105,67.398,10.0,5.1,395449,9.8,2.091019310935005e-15
-59.233,-17.012,10.0,5.6,395733,9.81,2.088019124472899e-15
-59.077,-16.85,10.0,5.1,396019,9.79,2.085004330566696e-15
46.216,152.142,28.3,5.1,396040,9.79,2.084783221940846e-15
-20.387,-68.898,104.0,5.2,397163,9.79,2.073010213847528e-15
-29.474,-112.061,9.8,5.5,397577,9.82,2.0686951785726828e-15
-29.701,-111.981,10.0,6.0,397742,9.78,2.0669791721940956e-15
-5.614,-11.369,10.0,5.2,398133,9.81,2.0629212719361145e-15
51.02,179.595,30.1,5.4,399306,9.78,2.0508190122960055e-15
8.596,-76.855,44.2,5.7,402556,9.8,2.0178384754513183e-15
-4.424,101.123,19.5,5.1,403399,9.78,2.0094137621062185e-15
-37.337,-73.855,18.0,5.2,403679,9.81,2.0066271879939683e-15
46.973,150.925,180.4,5.4,403977,9.81,2.0036678395695905e-15
4.954,126.568,89.8,5.4,404050,9.79,2.0029438967944916e-15
9.457,125.935,49.7,5.5,404219,9.81,2.0012694245044127e-15
-8.933,157.236,10.0,5.6,405052,9.79,1.9930465629603423e-15
